BnB,HOA,_id,address,city,dollar_per_sqfeet,lat,location,long,price,property_type,redfin_link,sq_feet,state,year_built
4B3.5B,,5c0a464a6ee39237d843c84f,Residence 1,Irvine,511,33.6826,Altair Irvine - Starlight,-117.71600000000001,1574990,Single-Family,http://www.redfin.com/CA/Irvine/Altair-Irvine-Starlight/Residence-1/home/144216772,3084,CA,
4B3.0B,,5c0a464a6ee39237d843c850,Residence 1,Irvine,638,33.638391,Barcelona,-117.74284899999999,1468005,Single-Family,http://www.redfin.com/CA/Irvine/Barcelona/Residence-1/home/148434289,2302,CA,
3B3.5B,,5c0a464a6ee39237d843c851,Residence 1,Irvine,543,33.6826,Altair Irvine - Solstice,-117.71600000000001,1374990,Single-Family,http://www.redfin.com/CA/Irvine/Altair-Irvine-Solstice/Residence-1/home/144216766,2533,CA,
2B2.0B,,5c0a464a6ee39237d843c852,Residence 1,Irvine,469,33.638998,Great Park Neighborhoods - Chorus at Cadence Park,-117.72009299999999,774990,Multi-Family,http://www.redfin.com/CA/Irvine/Great-Park-Neighborhoods-Chorus-at-Cadence-Park/Residence-1/home/147203553,1653,CA,
3B3.0B,,5c0a464a6ee39237d843c853,Residence 1,Irvine,505,33.6826,Altair Irvine - Celestial,-117.71600000000001,1469990,Single-Family,http://www.redfin.com/CA/Irvine/Altair-Irvine-Celestial/Residence-1/home/144216769,2909,CA,
2B2.0B,,5c0a464a6ee39237d843c854,Residence 1,Irvine,585,33.6754549,Travata - Castillo at Travata,-117.7490709,749990,Multi-Family,http://www.redfin.com/CA/Irvine/Travata-Castillo-at-Travata/Residence-1/home/145102182,1281,CA,
4B3.5B,,5c0a464a6ee39237d843c855,Residence 1,Irvine,395,33.6807,Great Park Neighborhoods - Obsidian at Parasol Park,-117.73700000000001,1144990,Single-Family,http://www.redfin.com/CA/Irvine/Great-Park-Neighborhoods-Obsidian-at-Parasol-Park/Residence-1/home/144388347,2897,CA,
2B2.5B,,5c0a464a6ee39237d843c856,Residence 1,Irvine,560,33.6749995,Travata - Palencia at Travata,-117.7495483,1033990,Single-Family,http://www.redfin.com/CA/Irvine/Travata-Palencia-at-Travata/Residence-1/home/145102179,1848,CA,
3B2.0B,,5c0a464a6ee39237d843c857,Residence 1,Irvine,486,33.683059,Lyric at Cadence Park,-117.723445,807203,Single-Family,http://www.redfin.com/CA/Irvine/Lyric-at-Cadence-Park/Residence-1/home/147264809,1661,CA,
3B2.0B,,5c0a464a6ee39237d843c858,Residence 1X,Irvine,419,33.683059,Lyric at Cadence Park,-117.723445,861500,Single-Family,http://www.redfin.com/CA/Irvine/Lyric-at-Cadence-Park/Residence-1X/home/147264810,2055,CA,
4B3.5B,,5c0a464a6ee39237d843c859,Residence 1X,Irvine,437,33.6842,Great Park Neighborhoods - Encore at Cadence Park,-117.728,1234990,Single-Family,http://www.redfin.com/CA/Irvine/Great-Park-Neighborhoods-Encore-at-Cadence-Park/Residence-1X/home/146248848,2826,CA,
